問題1,回答1,平均回答時間,問題2,回答2,平均回答時間,問題3,回答3,平均回答時間,問題4,回答4,平均回答時間
とはりやち,はやとちり,5.47,まりひつな,ひなまつり,5.51,おなゆんき,ゆきおんな,5.97,すわおけそ,おすそわけ,6.36
らなれひあ,ひなあられ,13.4,んまうてろ,まてんろう,12.32,わとりそま,そとまわり,11.48,まもなのけ,なまけもの,11.35
かつんなみ,なつみかん,15.85,かとしひむ,ひとむかし,16.01,まりゆつき,ゆきまつり,17.04,はけらやの,やけのはら,17.46
ひえきこい,えこひいき,13.75,こてうむい,むていこう,13.04,ふうつりた,うりふたつ,35.17,あせとわり,とりあわせ,26.23
ときこゆお,ゆきおとこ,13.98,わおりとま,とおまわり,15.55,わにせまあ,まにあわせ,16.55,くんひみこ,ひこくみん,16.57
らといひさ,ひとさらい,22.39,うとこりの,こうのとり,20.95,おあこめと,あめおとこ,19.84,こてとんろ,ところてん,19.48
めおまひさ,おひめさま,22.64,みきおつす,おすみつき,22.72,わらしさま,さらまわし,23.13,きかつりあ,つきあかり,24.82
しさりくむ,くさむしり,18.07,んいふめせ,ふせんめい,12.03,さふうくよ,ふくさよう,39.58,おちしくな,くちなおし,35.83
りとかうん,かりんとう,18.09,んめなあお,あめおんな,21.47,つひみとま,ひとつまみ,21.8,こやうおふ,おやふこう,21.9
おいころと,いろおとこ,38.8,せしつふん,ふしんせつ,36.11,くきたても,たもくてき,34.99,まとしおわ,とおまわし,34.47
